UID 微博数 关注数 粉丝数
5859591865 2 19 8
1614683083 89 42 28
5273807352 0 32 1
1367591317 323 356 28
6831226653 18 174 19
6741743175 0 33 3
6002845296 6 104 1
5538750476 172 264 74
3211388247 2 51 1
5672334427 1 26 47
2688303144 1299 2216 612
6135000848 270 1891 255
6246109926 32 136 20
5971049070 66 57 37
5277556324 49 246 37
6611617694 0 32 1
5655709285 4267 1108 250
6628238234 4 33 6
6962348049 0 14 2
6980940911 0 5 1
5837523603 402 635 39
3862003078 5215 1006 230
6981135553 0 9 1
6860547835 5 81 4
1843315577 175 913 90
6142725775 13 191 76
6112680615 0 43 33
6413050399 2843 356 127
6561436528 0 331 7
2310551780 186 67 20
6111065966 6 35 13
5986377651 58 54 25
6572308031 0 65 6
5859737472 354 678 580
6498085935 27 113 13
5346916226 79 108 6
5797576974 111 105 15
5239332711 247 379 178
2452893447 1202 222 338
6618632335 5 77 20
5979039098 51 236 2
6445922381 34 332 173
5992514161 0 82 13
5292225267 46 226 50
6233129221 0 39 10
5943974689 15 57 10
6735450781 18 184 34
3327653890 354 1067 85
1696694250 8 83 23
6354779055 0 15 5
6025837400 249 291 437
2681296671 49 302 55
6346808188 105 209 310
5051801429 1 159 4
5947458984 319 114 81
6690634571 105 86 30
6319368138 1 33 2
5455766386 340 118 32
6978714134 0 30 1
5839728042 79 360 18
6262162831 324 147 1602
3901185953 37 94 30
6118629482 12 29 11
5986076570 11 86 19
6586739839 2 18 1
6923747923 1 24 1
6627792340 1372 944 170
5459673843 3185 896 410
5382620035 88 86 33
5667022355 239 150 77
6985088492 0 9 1
6394797744 0 199 35
5650275698 2782 883 134
6504138110 18 261 13
5581991304 74 86 23
6042582170 0 16 1
5599490112 9 124 20
3195714215 1174 3553 11907
6773527283 42 202 4
3270475904 1 41 2
6814198660 42 58 52
5513460278 320 257 66
5919814845 334 754 59
5857343656 3 48 35
2602210717 432 327 84
3225996521 164 279 94
6986777287 41 207 42
2540711425 556 147 60
3537275473 1033 382 92
1561458180 794 582 47
6979298475 0 67 1
6086091172 3152 100 59
6007186910 153 137 14
5436310401 72 91 49
6974864944 24 28 7
6987875811 0 31 2
6716288421 0 23 1
6026865183 242 555 25
3495192323 408 470 21390
6364601061 1595 205 53
6402106109 90 462 34
2153854071 85 604 47
5655318815 779 206 249
6279463227 273 482 266
6614768009 4 243 14
6411115547 1234 93 119
5022881030 1077 338 28
2188155655 2 315 173
1287356745 4496 713 438
5656557545 144 216 62
5671551612 1681 834 66
5542895377 181 163 66
6035760660 343 751 1216
6164459461 338 301 99
6493295650 4 346 43
2956283914 423 126 109
6920481399 9 144 2
5666679809 6 29 24
6656420136 0 15 2
6897363228 122 80 1
5818560172 3052 630 81
5534489036 2564 473 710
6896088079 0 8 3
6059254488 26 495 106
5992729522 334 203 40
5600256692 312 465 30
3184001632 1131 165 98
6120663644 966 83 115
5753856009 242 625 146
6107546808 1491 449 83
1934761963 488 127 87
6452805584 228 527 3253
6064475179 1554 930 26
6350115766 1 44 1
5678707538 19 135 6
5087801914 3925 462 60
2688289987 1090 484 283
5850461901 1575 460 56
5851026136 4 109 22
2690012893 5 4594 318
6028203128 191 93 63
1607396501 2876 315 197
3613155127 1007 556 37
5698371589 53 545 45
6411450231 0 0 0
2543473762 0 0 0
3951111497 0 0 0
6631712807 0 0 0
5686173294 0 0 0
6049769106 0 0 0
6326630576 0 0 0
5682973800 0 0 0
2019975413 0 0 0
5646578504 0 0 0
6419282448 0 0 0
6484154917 0 0 0
1840705825 0 0 0
6818605287 0 0 0
6033334691 0 0 0
5538404618 0 0 0
1654211191 0 0 0
3691021822 0 0 0
6324589778 0 0 0
3169786264 0 0 0
6871873381 0 0 0
5849536502 0 0 0
2037639950 0 0 0
6106113170 0 0 0
5705940979 0 0 0
6266771005 0 0 0
6502402059 0 0 0
5621558925 0 0 0
6120426303 0 0 0
5896060118 0 0 0
3538320111 0 0 0
6458001702 0 0 0
5125510725 0 0 0
5715516143 0 0 0
5960615871 0 0 0
5184286425 0 0 0
5720369655 0 0 0
5214039470 0 0 0
5555274271 0 0 0
6818747315 0 0 0
1923239982 0 0 0
5966720369 0 0 0
1854600040 0 0 0
3846757945 0 0 0
5024023654 0 0 0
6091312388 0 0 0
2816916785 0 0 0
5516636609 0 0 0
6186270476 0 0 0
2696976884 0 0 0
5468866989 0 0 0
2864305964 0 0 0
6559044077 0 0 0
6546936731 0 0 0
5669971815 0 0 0
3022099767 0 0 0
2001211611 0 0 0
5234990651 0 0 0
5968247281 0 0 0
6015928045 0 0 0
1202449600 0 0 0
6137589496 0 0 0
5669564167 0 0 0
3991139467 0 0 0
5211710013 0 0 0
6508053398 0 0 0
2548825195 0 0 0
5723203040 0 0 0
6587076256 0 0 0
2887963760 0 0 0
5997165498 0 0 0
6593350822 0 0 0
2588339777 0 0 0
6004191550 0 0 0
5970602479 0 0 0
6317746368 0 0 0
5851364621 0 0 0
5529803236 0 0 0
3993857282 0 0 0
5894561884 0 0 0
6507094224 0 0 0
6070190516 0 0 0
6810922568 0 0 0
6083898733 0 0 0
6486866531 0 0 0
6542442354 0 0 0
6461201514 0 0 0
5970631509 0 0 0
5867890192 0 0 0
5871607281 0 0 0
1819051552 0 0 0
3658657851 0 0 0
5799076976 0 0 0
6678802390 0 0 0
6303888838 0 0 0
5892695165 0 0 0
5979596655 0 0 0
5520883008 0 0 0
3701541140 0 0 0
6737463954 0 0 0
2795354964 0 0 0
5344146333 0 0 0
3385323390 0 0 0
6147160317 0 0 0
6792842165 0 0 0
1833852520 0 0 0
2302192294 0 0 0
5896557053 0 0 0
6070583784 0 0 0
5893082307 0 0 0
6379160547 0 0 0
6466486612 0 0 0
5863006558 0 0 0
1688912622 0 0 0
6067921490 0 0 0
5839320055 0 0 0
5491808956 0 0 0
6032807920 0 0 0
2813819217 0 0 0
5675332558 0 0 0
1171873992 0 0 0
5687708040 0 0 0
5891203279 0 0 0
6611989140 0 0 0
6941187140 0 0 0
6539997546 0 0 0
6986603199 0 0 0
2203926964 0 0 0
6039382051 0 0 0
5898433629 0 0 0
6818089604 0 0 0
5875242124 0 0 0
6616676985 0 0 0
6285766620 0 0 0
1790283732 0 0 0
6489842366 0 0 0
5621938545 0 0 0
2184245494 0 0 0
5931244888 0 0 0
5856965826 0 0 0
1778768901 0 0 0
2854363090 0 0 0
5932833850 0 0 0
5663679532 0 0 0
5136275655 0 0 0
6588703049 0 0 0
5312755197 0 0 0
1826374070 0 0 0
2292773520 0 0 0
5723714610 0 0 0
2251192243 0 0 0
5631931128 0 0 0
3605508267 0 0 0
5691070503 0 0 0
5225050854 0 0 0
6533162814 0 0 0
1781006353 0 0 0
3282178075 0 0 0
5494717457 0 0 0
5118288536 0 0 0
5186738334 0 0 0
5232920702 0 0 0
5884978651 0 0 0
2458371664 0 0 0
5859838592 0 0 0
5837857159 0 0 0
2712575762 0 0 0
6174779944 0 0 0
6461054838 0 0 0
1732264711 0 0 0
5876699378 0 0 0
2835866385 0 0 0
6332186749 0 0 0
5986653824 0 0 0
2866954872 0 0 0
5314539873 0 0 0
2290860167 0 0 0
5655526941 0 0 0
6505237573 0 0 0
6770364786 0 0 0
2841582334 0 0 0
6591583426 0 0 0
5876655555 0 0 0
6534616938 0 0 0
6632240879 0 0 0
6870759963 0 0 0
6697361585 0 0 0
6838758382 0 0 0
6262591886 0 0 0
5897588457 0 0 0
6960842221 0 0 0
6368653375 0 0 0
5989165679 0 0 0
2854251802 0 0 0
6083699556 0 0 0
5223453379 0 0 0
3837408639 0 0 0
5985791338 0 0 0
5205589142 0 0 0
6535067655 0 0 0
6985467688 0 0 0
6371189186 0 0 0
6359377550 0 0 0
1804723695 0 0 0
5662220376 0 0 0
6622838530 0 0 0
2528488761 0 0 0
2292439800 0 0 0
6225016350 0 0 0
6831505462 0 0 0
1150800360 0 0 0
5560359300 0 0 0
6985284020 0 0 0
6919943360 0 0 0
5231783731 0 0 0
6973273821 0 0 0
6387409193 0 0 0
3964327319 0 0 0
5704626574 0 0 0
5980133029 0 0 0
2562741904 0 0 0
1268095234 0 0 0
6053552059 0 0 0
5438270156 0 0 0
3108429124 0 0 0
5665602735 0 0 0
6984929278 0 0 0
6878217115 0 0 0
5598889857 2 80 23
5976747278 75 198 46
6586426917 1 23 4
6607995019 5 81 20
3279873221 568 504 159
3216783703 533 723 183
6171141281 18 107 15
6081980141 58 457 104
6974033545 2 19 1
6864165145 262 353 77
5104672901 21 10 2
6327132375 309 290 2050
5469897696 10 126 21
5573161993 19 56 5
5691615864 221 323 161
5253201832 239 102 26
5898831606 525 646 357
6411712049 1 298 1
3214457231 0 160 188
6604925558 312 102 15
5641284707 79 112 32
5850414617 143 3374 243
6187270441 17 107 11
2389297154 508 353 40
3936316378 712 449 166
5837750034 2529 1733 100
6602699104 506 180 13
5262510210 109 651 180
6630393454 407 383 46
6064132901 4 144 2
6051906770 80 459 13
5526402139 399 234 94
5890326790 50 240 28
6071546513 368 1732 53
5637046362 783 294 57
6465252622 8 24 8
6409490250 72 540 59
6152318030 4 60 6
6400918951 5 48 7
6911300019 20 130 19
6981197371 13 55 11
6066983516 1799 461 402
6135739054 8 205 14
6979215194 0 7 1
5761295168 376 466 151
1994358565 9355 828 5023
6614162350 11 129 31
6166226337 2 55 1
6491319436 19 28 3
6548687062 4 115 2465
5626317620 17 230 60
6982187801 1 10 1
6978479894 0 47 2
6910102273 1 193 17
5225876494 265 640 197
6704585903 19 142 37
6148743048 1 63 11
6981046345 7 23 4
6973307030 0 14 2
6979812723 26 111 5
6970642300 1 14 1
6279565669 305 97 7
6508070179 10 83 3
6427781266 8 16 8
6156574390 48 105 32
5252255756 4 384 50
6650522403 1 59 2
5773896007 0 91 52
5565976953 156 160 87
5997661165 182 127 95
3035008383 384 81 3228
6963324388 0 73 1
6765058928 21 64 15
5296488336 13 36 26
6004979389 2 156 29
6803279167 0 15 1
6688945655 0 45 11
6190025951 4 44 20
6585177025 5 100 20
6868321601 1 14 1
6171669534 118 255 62
5613756526 130 356 30
2809760145 159 579 204
3825654747 19 199 11
5878473717 1 96 1
6534502798 0 403 3
6812379264 0 131 1
5496465232 0 389 6
6662218970 1 176 16
5526624975 20 103 27
5490622376 5 1540 319
6977661561 0 3 1
6650548346 0 126 2
6064161758 12 61 21
5495052137 1524 1800 58
6631230981 197 644 32
6174083070 5 11 2
6499363857 52 49 5
6978023142 7 20 3
5649402194 45 272 48
6530885365 1 44 2
6066225756 38 350 110
6905402361 2 595 8
6402324334 4 64 11
5635614738 82 90 36
5827770253 18 217 74
6595520807 0 10 1
6214948159 8 72 1
6722223490 0 94 2
5370362163 241 537 174
5414456378 11392 1248 395
6869268198 7 141 16
6135281589 1 207 7
3123680075 13 62 9
6193133987 26 174 27
5853788324 4 310 32
6066261495 61 436 121
5171510182 315 794 142
5446447347 25 105 65
6085316481 18 423 122
6404432378 4 77 21
5505249310 304 521 68
3018729537 2241 864 3592
6871483884 0 191 8
6698123049 6 139 6
5791859474 191 152 3
5776066181 427 269 19
2692860813 227 136 2405
2843225604 7 157 18
6970056402 1 7 1
6601117934 0 62 5
5690148587 650 356 157
5937770393 1003 799 113
6976181811 12 29 1
6478065938 22 41 3
5863926227 13 177 6
5253192795 783 457 79
6601625666 1283 272 38
6596209305 19 149 38
6415709706 4 266 37
6639766137 826 509 97
2107811341 707 186 5163
6879169651 11 56 2
5746481310 2047 916 2483
6595456105 12 610 59
5490981304 19 262 55
5494773016 755 65 31
6342171026 1341 318 33
1736026710 83 60 13
6976339181 0 14 1
5641943453 10989 461 56
6006816691 1 29 7
6102549417 369 301 46
6311139723 76 229 73
6135754703 6 518 13
3265520054 2589 367 458
5669041561 16 159 44
5856019041 3 26 6
6634730175 157 359 78
6263826938 859 379 1122
5702617833 0 70 31
3960988894 33 98 40
6702913186 15 57 2
5363011257 32 1612 115
5894544178 9 143 30
6593280988 1 29 9
6475625756 30 176 44
6606652919 8 23 1
6293809127 110 264 32
3728551335 10 42 3
5917969957 241 242 231
6018944975 2 36 1
6854234818 3 21 10
6975658115 0 38 2
5818686939 360 438 25
5976638000 20 73 39
2431688104 50 520 190
2337882040 14184 1477 700
6617718919 0 602 18
5455982563 2874 323 4610
2838393867 809 1467 517
5584407994 749 152 26
5523519567 864 569 42
3836692807 1 25 1
6613624592 10 32 3
6795638552 280 316 75
6916975756 212 272 88
6976073302 1 7 1
5081775845 21 325 28
1758121921 3449 1426 124
1016083431 224 503 73
1877188421 506 235 319
2952588154 163 903 42
6098466744 1 79 2
6165071470 63 235 1684
5667127365 2956 884 75
5521359632 5 101 80
6974763824 2 201 9
6201337617 27 343 38
5847781208 15 132 26
5588807887 164 345 42
5373603432 5 306 53
5357036681 242 152 56
5734192279 65 667 159
2680474531 3447 2874 239
5454343792 72 616 29
6879688887 1 287 4
5887536529 0 211 1
3269869412 1372 747 743
5403809343 387 531 74
5096329507 1514 367 357
6376821995 38 127 15
5797672516 16 308 11
5997777035 3 89 16
5698493088 75 328 26
3178461697 1794 443 219
5843313243 329 412 180
5165179545 2791 505 1582
5494866073 50 238 32
5581480843 141 174 188
6522001341 2198 541 159
6331297332 0 50 2
6128002266 3 60 59
5785133884 13 68 29
6391802633 0 19 1
6374006350 1 69 1
6680818247 0 2639 182
6790529709 27 102 4
6782583241 0 63 1
5935373871 87 37 2
2785723511 1967 239 278
6443541613 697 232 93
5512386945 17 47 1
6559952858 17 75 16
5753760967 645 826 73
3197830237 1368 357 130
6503758597 30 53 13
5448271802 38 79 38
6388695487 8 63 14
5648334674 16 54 33
6323356961 120 155 70
5590620271 18 61 10
3613149603 768 446 275
6593384151 55 76 28
2965830610 1495 1630 370
6266109859 0 55 1
5573879337 716 239 164
5674704953 454 155 40
6576404306 5 937 37
5850392674 24 495 38
6493524743 3 30 2
6051887432 351 468 59
5584725919 3549 789 124
6532172808 13 14 2
6885426104 20 211 9
1658385567 2213 726 868
6170033212 1 35 2
5882397375 0 44 1
2950979382 21855 748 5448
6600691358 0 63 7
6010678996 244 207 30
5484464207 2354 173 21
6317354071 1 191 4
5982049670 2 101 1
6690908967 2 19 2
3224515062 662 402 59
2722932341 754 336 97
5736802419 5 354 26
5855945581 17 139 23
6696750550 3450 202 20
6131631509 1 11 4
6318329961 2 393 12
5836454346 520 606 132
6604494499 12 116 8
5848838327 745 704 134
5630710825 31 262 44
5393956083 618 221 43
6283255870 1 131 10
5282044574 1 6 1
6859523861 73 60 35
6418892538 378 219 13
5679685654 0 134 32
6570308121 630 108 50
6216916699 1 20 3
6530376580 64 175 16
6510711274 74 66 7
1981847052 482 324 309
5340835505 0 477 56
6274750958 33 65 151
6085804854 118 196 32
3480059613 23 307 122
5617325983 143 148 84
6053294448 50 182 20
2211982842 2157 339 156
5366732886 370 618 143
6452973822 20 127 4
5821903773 2 685 18
6364738309 2 82 6
6970495798 0 419 98
5114696598 1643 500 107
6415678330 507 1375 47
2199681054 267 307 27
6897372806 0 53 1
6069988721 229 80 58
6035256585 39 111 62
6038468961 25 55 58
5719138017 642 13 38
2266566034 110 676 219
5344329419 451 306 296
6118354491 7 1150 90
5835550442 9 117 13
5129807917 95 236 94
5975174166 123 76 10
2315297590 10028 692 237
2741078500 6984 538 714
5020076086 3515 835 482
5729786927 717 584 82
6458979791 1 517 51
6439822295 16 166 1
6966510261 0 150 3
2135516331 97 1283 102
6078738443 2272 598 132
5316634043 154 415 28
5967060571 1 169 27
6589060625 6 65 2
2471525804 5899 5137 1106
5526207034 23 170 2
3828736287 3 79 10
3017274695 975 952 430
6099212495 2 116 28
6411559625 408 249 150
6847858983 0 1670 16
6031246522 179 309 85
6423190931 112 191 30
1839988087 292 360 158
3812650153 1549 363 102604
2704577802 812 312 695
6113314425 7 126 11
6722663068 178 452 116
6233543524 3 48 6
6261767958 33 138 22
5018150390 15 72 67
6595975841 170 2849 13
6597528753 274 4484 18
6932636872 3 69 1
6760931136 714 669 29
6926989543 5 111 1
6741840548 141 2158 8
2031220217 1137 747 578
6900158064 47 719 8
6594491595 296 4582 28
6593977357 257 4215 15
5331692622 106 542 160
6600582421 117 1887 16
6600132918 225 3639 22
6600941771 219 3551 23
6584941786 234 3662 23
6899111123 119 1538 2
6666811236 179 3033 16
5776949728 8 106 24
6561450806 129 1752 30
6075722589 24 157 72
6125334881 14 26 13
5018150390 15 72 67
6595975841 170 2849 13
6597528753 274 4484 18
6932636872 3 69 1
6760931136 714 669 29
6926989543 5 111 1
6741840548 141 2158 8
2031220217 1137 747 578
6900158064 47 719 8
6594491595 296 4582 28
6593977357 257 4215 15
5331692622 106 542 160
6600582421 117 1887 16
6600132918 225 3639 22
6600941771 219 3551 23
6584941786 234 3662 23
6899111123 119 1538 2
6666811236 179 3033 16
5776949728 8 106 24
6561450806 129 1752 30
6650627970 234 3647 20
6599376829 95 1587 14
6599571565 269 4306 17
6075722589 24 157 72
6125334881 14 26 13
1847329060 5 406 7
6596061891 0 600 9
2822373757 305 453 68
2929503935 3 20 23
6982528343 0 121 4
5316330763 41 42 34
6588222836 27 55 31
5912600505 139 134 642
7025174778 0 9 3
5556081661 2772 308 118
6383389427 0 38 5
6797151574 0 9 1
6351873706 2 15 30
7012632309 43 222 48
5830012814 65 174 11
2576684295 0 57 0
6299608952 910 702 195
6414263100 1 9 2
6721233309 0 1032 43
7026737821 3 144 2
5831390752 2178 563 85
3970538071 269 740 199
5484967989 2678 938 249
6252894628 559 1615 34
6617285798 0 2 1
5711195897 93 414 36
6137509979 9 295 52
6171168090 38 36 27
6603240082 7 112 8
6981598104 0 6 1
5969880686 35 237 345
1563221533 3023 5507 1365
7021497832 4 21 1
5900963638 31 136 32
5441520453 24 42 22
6081529266 22 179 10
6568420894 20 47 3
2577387181 21 18 1
6649574888 204 128 22
7010954197 0 11 1
6407146781 19 53 5
7026223575 7 33 1
5895834963 2108 489 251
7021813437 5 73 2
3524395647 1 25 9
6214659875 5 330 42
5573885655 56 281 29
6313297882 21 93 23
5742829984 0 38 8
6134941505 0 65 14
2267568452 449 462 63
7025102749 0 36 1
6468878925 69 23 3
2474552361 6097 268 537
6303179197 802 1632 357
5831089074 3 80 22
5531617887 261 161 98
6800819333 3 250 16
6749592754 3 604 59
7024233619 1 8 1
7021909128 0 16 1
2190109132 5971 601 695
6885441720 23 53 7
5667401096 286 709 75
2610578013 3967 1003 559
3805158098 410 340 51
5995905866 40 198 87
6811302716 99 43 100
2189276894 5545 758 146
5871121371 11 98 16
6379375255 163 125 6
5611536024 1704 413 2253
3846453119 71 312 434
5895108168 40 142 61
5415079275 706 209 40
5287568368 51 75 7
3213695105 6073 1197 154
1751068934 161 425 18
2594417987 12935 536 438
2719112087 648 357 335
5063805553 254 10541 988
1791928175 231 515 213
5128028623 2626 2229 4
2275650404 71 738 68
6347246165 36 417 16
6297204339 82 127 74
5839598957 0 163 2
5486260431 685 413 97
5264063572 171 295 66
5943509242 21 33 12
3714547133 1132 373 53
7023883451 1 60 1
5887953414 0 156 1
5527954038 818 342 881
6144066713 2978 216 96
2742181702 988 1440 81
6489644185 1 22 1
5807773207 69 1964 139
5912658053 29 429 85
6207386405 13 149 11
5052696644 120 488 179
7022661554 9 34 10
6657340544 0 19 2
5178402764 19 171 67
6500845502 2283 435 254
5859531129 0 166 6
5652528528 524 199 67
5510872512 287 325 83
5936476253 22 205 1
3283481140 7123 3005 237
6999959617 0 27 1
3235087543 343 442 149
2580592100 4213 504 2076
6861052296 20 135 3
7020637203 56 744 95
6785636325 0 30 1
7020575432 24 139 2
6874949051 45 100 48
1700132664 16 103 42
5995882963 478 606 194
6213881661 670 229 50
6474032511 75 169 34
6888132893 1 25 1
3035808380 1594 458 180
6049639225 0 53 6
3008633025 25395 592 1028
6835970982 5 41 1
5690378997 45 68 35
6317569861 564 223 437
5588183892 7 99 19
5594225660 0 89 39
7020077639 0 21 1
5890989602 104 728 126
5539830333 1161 142 65
3297824237 7339 2136 2230
6499512797 85 170 10
5856795806 57 66 46
6150898332 5 29 13
5689225204 12 44 5
5386350545 6 95 5
6852213300 1 3366 93
6993030949 5 10 1
6157859057 55 108 12
6178151282 0 64 32
6936621237 3 6 3
6601267220 31 48 7
6150269111 6 1421 144
6604996872 0 30 3
3913665855 378 225 46
5379761230 36 333 18
6493088089 2 192 25
6625789187 0 68 1
5685519985 62 103 94
6993914770 0 33 1
6174836009 0 10 20
6555296198 1 63 2
5651109119 1 58 2
5216430424 0 18 5
2143948702 71 30 44
6623081919 3 107 23
2696874314 2144 503 590
5686776894 1 39 2
6965115666 10 34 1
5762029677 3 68 4
2009109401 36 307 620
5898466175 0 25 1
5604845601 7 779 86
5717304076 36 561 78
7004456642 78 54 8
6991100343 4 55 3
1806440922 31 711 248
6413458795 22 159 9
5890653845 21 119 21
6450230405 1 235 53
6582684714 0 228 41
6994406654 0 26 2
5355774067 1 154 24
5995692408 88 228 14
6502234485 76 830 186
6769147733 331 428 364
6468750923 36 153 28
1954166727 54 695 92
5060164945 41 70 115
1884408133 21 21 14
5334263695 7 1823 109
5591515185 122 234 69
5845938698 1591 483 179
5739755390 7 29 7
5361005439 9 87 27
7000846492 6 65 5
2448072625 42 469 25
5268069129 29 91 8
6996022887 0 8 1
3087678575 85 177 85
5924324804 25 40 20
6598468872 3 92 1
5973631118 587 307 146
2267617192 1739 1113 277
2631737357 11 88 0
6372399012 1 62 4
2948834225 750 666 387
6016012156 118 13 1
6510748380 75 171 46
6809269143 366 188 34
5502627147 755 328 60
2794767252 572 273 4084
3610427237 9 187 72
2158234130 21014 1831 458
5845520552 5 216 58
5347915352 613 1981 120
5749095500 1 298 33
5781049802 33 143 36
5697653829 477 609 151
3317958370 9970 4662 479
6435594649 325 331 114
5537900009 8529 1645 746
5694150082 0 893 109
6870695364 36 75 3
6990745193 0 165 3
6617426777 13 42 9
6020218537 66 330 64
1878154145 1475 1489 333
6525084835 3 28 5
6980040351 0 38 1
6524124225 4 201 68
1666934357 3041 710 11418
6540613401 108 102 1
6049733894 14 98 39
5063502738 1870 111 114
6525654521 246 123 112
5745379693 1 35 1
6345404372 1 138 5
5177576320 430 334 89
1821513224 45 26 74
7007967539 39 60 12
6013133546 8 13 15
5861366126 2185 586 300
6460415928 11 108 6
6739748419 774 118 134
3296068524 464 692 199
6293321226 49 179 13
3748840827 67 107 34
2854304570 124 153 29
5457793284 28 1954 67
6631002629 106 108 45
3215855500 1203 811 297
6212174395 8 105 1
5524316763 2036 761 81
6158057265 0 6 1
5745013759 20 33 34
5844916438 9 72 11
5696047565 0 237 36
6326172392 4 44 5
6592891910 0 11 1
6577115392 1 91 4
6250363885 13 83 25
5643689105 229 257 16
5884196433 76 142 53
5626926984 115 224 74
2355603595 14 103 36
6236545687 468 634 162
5675786764 2387 182 362
6554482479 176 389 71
6628739887 8 34 1
7013425214 0 42 6
5537828272 4 331 51
2439017940 3079 1325 91
5525923003 2110 503 91
5990234613 25 202 100
3253809313 535 166 85
3300143162 12813 313 119
5987042769 22 172 50
2063469281 20050 1825 1965
2667214951 1792 1731 2080
1664685027 38278 934 677
6363838395 84 548 192
2857456632 312 68 8
3258586322 4 89 7
1869576083 17267 541 352
6976225706 0 68 2
6226119160 0 2 1
2034984815 5715 425 180
5332867559 152 691 83
6387277471 7 85 2
1964413821 6033 744 1233
5589039492 495 364 99
6889014563 0 31 2
6770076438 23 19 1
6870633374 71 707 136
5845502489 4 22 1
6965153993 3 37 1
6546753855 17 120 13
5781361017 564 448 133
5719742811 53 288 35
2519928297 786 520 82
3858238590 290 342 778
6296816670 7 30 2
6327207083 119 99 711
5598892643 9 192 9
3412075230 281 226 70
6281079374 0 92 17
6818340738 3 15 1
5650207537 2458 737 124
5914735698 0 20 1
6424860177 18 77 14
5497308642 1248 108 27
5482377522 178 270 19
6229869294 5 113 19
3007936153 31 242 20
6179892273 114 348 692
6569761640 0 971 53
6460381517 26 55 8
5669536775 15 116 100
5885330357 2 29 16
5637907405 43 189 35
5108775833 27 74 18
6919685804 69 78 11
2551732624 14 183 37
6409747069 953 578 364
7010770818 0 89 2
6486047255 2 34 2
6249239345 90 104 101
3761685412 1352 693 55
6567253280 6 35 1
5263559092 479 1073 139
5471238534 553 105 46
5730789243 24 93 43
5700161485 642 1430 199
5855487392 501 672 336
3600888864 402 353 76
3921136959 119 184 20
5309000839 7164 368 126
2413936314 3636 1293 163
5731036450 446 574 179
6303963728 48 414 118
5568430073 6 532 57
3536380832 0 177 14
5663095235 291 201 55
5729421454 456 863 356
3362486754 1319 1164 1966
6711765954 0 55 1
5506890594 894 146 16
5642754936 15 295 21
3268052887 90 110 74
6835843049 23 106 1
5541887226 27 185 53
6649427076 2 3037 57
5464415351 0 19 1
5500236425 51 196 52
6243861493 1224 189 69
3811100216 16 263 55
6976817932 1 9 1
2938687741 426 1668 772
1922487964 85 72 3201
5970673352 40 75 7
6982152327 0 46 1
6302268034 27 349 21
5610347538 8 69 49
5189522570 335 161 42
5671028258 10 232 53
7009030313 13 103 1
6501673454 87 175 13
5391836803 149 605 72
6797756299 23 67 11
3176530830 136 514 77
6571969700 74 229 31
3623704242 1755 312 461
6538161721 15 65 28
6378573280 34 58 2
2160226585 0 259 1
6492215736 0 93 1
1665205753 695 671 51
2431880703 28763 234 253
6377637829 10 650 17
5713031125 12 101 3
5862183631 10 16 2
6603956317 15 461 29
5656209221 7 105 49
5547105535 11 81 19
3996419094 5 89 38
6158115126 8 137 29
7000264053 4 19 2
3464794522 34 273 50
6995340675 3 94 1
5848105062 0 69 3
3242117412 84 232 18
5019425338 7 113 41
6975740431 3 885 31
3054054987 77 100 28
1948711745 25691 1235 67
6871538432 3 87 11
6045934418 105 77 83
6364590089 139 227 34
7008532140 0 9 1
5355389189 92 581 96
6672495362 26 40 1
6672495362 26 40 1
6036026249 16 245 24
5670916416 0 32 2
5977850603 1521 407 198
5586520719 473 243 131
3675795170 13 85 79
2785008064 69 139 17
6538101552 0 68 1
6504991609 3 54 1
6107850992 144 119 90
7006693333 3 41 4
5932098369 0 58 14
6319252405 1283 319 384
6522810779 72 134 148
6504536998 197 603 80
5899789296 11 181 512
6070941162 1489 311 47
5515546443 1324 90 8
6856747064 74 291 319
6833877309 16 96 13
5536672421 406 833 384
6890351536 0 2249 36
6918798426 4 19 3
6600337874 1 44 2
2790257655 225 463 138
6534306204 119 87 8
5180209574 4179 751 427
5909224739 1976 855 2359
7005278852 99 30 25
6642825711 0 33 1
7002312118 78 77 2
6414271431 2453 1007 127
6470998762 40 165 24
5681349355 420 449 70
6895971081 0 3 1
5967111551 496 220 31
6896381421 0 259 20
3874641087 220 136 105
1906113535 12432 1214 192
5909144858 10 123 61
3148696191 677 575 113
2237323555 965 1245 240
2199067262 1845 499 43
6340496693 4 37 2
6071795106 875 454 521
6693890085 2 227 52
5893703219 2609 365 112
5223400255 2476 725 12187
6519729451 0 52 1
6487536119 11 15 2
7004513279 1 61 6
5354278953 2707 740 66
6969388824 6 62 3
6969702802 8 148 1
6856014247 0 44 1
5631138095 1301 748 3593
5376581976 6 24 60
6366382212 0 63 1
6975730563 3 874 24
6423931903 39 50 17
6673885554 20 102 29
5888833151 10 1178 176
5973034194 0 16 2
5111887430 0 52 9
6570004963 0 76 4
5391179061 761 385 131
6552468162 0 320 9
6132474429 72 100 44
5882735929 34 108 29
3100616920 71 195 66
5647850315 1540 416 54
5576787902 1 29 1
1267577374 57 69 49
5241521026 253 934 7876
6975683992 3 904 28
6460763666 62 62 46
6517758525 8 43 1
5981685004 5 114 19
6936744704 2 6 3
6057327014 4 97 17
6801951153 0 78 1
5925829134 3 503 8
6397556899 74 137 86
6247226608 14 443 37
6570163465 69 161 157
6671707466 0 124 1
2308577025 106 101 178
6915440869 0 13 1
6508218897 2776 2448 655
5732989702 292 577 20
6879914941 15 109 2
